Location_ID,County,City,State,Postal Code,Longitude,Latitude
L000232,Okanogan,Methow,WA,98846,-119.942320,48.057219
L000233,Kittitas,Vantage,WA,98950,-119.989641,46.944296
L000234,Yakima,Mabton,WA,98935,-119.999979,46.209961
L000235,Okanogan,Methow,WA,98834,-120.003138,48.127179
L000236,Yakima,Sunnyside,WA,98944,-120.006171,46.326424
L000237,El Dorado,South Lake Tahoe,CA,96155,-120.015701,38.853407
L000238,Chelan,Chelan,WA,98816,-120.045301,47.856320
L000239,Douglas,Waterville,WA,98858,-120.064185,47.648274
L000240,Yakima,Outlook,WA,98938,-120.093544,46.350294
L000241,Okanogan,Carlton,WA,98814,-120.107652,48.242763
L000242,Okanogan,Twisp,WA,98856,-120.141407,48.367801
L000243,Douglas,Rock Island,WA,98850,-120.142651,47.373162
L000244,Douglas,Orondo,WA,98843,-120.143668,47.771382
L000245,Chelan,Manson,WA,98831,-120.147741,47.898898
L000246,Yakima,Granger,WA,98932,-120.193400,46.345135
L000247,Chelan,Malaga,WA,98828,-120.203750,47.353311
L000248,Klickitat,Roosevelt,WA,99356,-120.218389,45.742707
L000249,Okanogan,Winthrop,WA,98862,-120.222242,48.486204
L000250,Yakima,Zillah,WA,98953,-120.263170,46.405560
L000251,Chelan,Entiat,WA,98822,-120.285857,47.724605
L000252,Douglas,East Wenatchee,WA,98802,-120.286740,47.417600
L000253,Yakima,Toppenish,WA,98948,-120.312870,46.375340
L000254,Chelan,Wenatchee,WA,98801,-120.320090,47.422550
L000255,Yakima,Moxee,WA,98936,-120.355223,46.550869
L000256,Kittitas,Kittitas,WA,98934,-120.417610,46.983375
L000257,Okanogan,Mazama,WA,98833,-120.426775,48.593474
L000258,Yakima,Wapato,WA,98951,-120.448617,46.442693
L000259,Santa Barbara,Lompoc,CA,93436,-120.454675,34.642185
L000260,Yakima,Yakima,WA,98901,-120.468875,46.604618
L000261,Yakima,Yakima,WA,98903,-120.477805,46.553505
L000262,Chelan,Cashmere,WA,98815,-120.492891,47.521843
L000263,Yakima,Yakima,WA,98902,-120.524012,46.597394
L000264,Kittitas,Ellensburg,WA,98926,-120.526495,47.005576
L000265,Yakima,Selah,WA,98942,-120.541880,46.654175
L000266,Chelan,Dryden,WA,98821,-120.570353,47.543518
L000267,Chelan,Peshastin,WA,98847,-120.605170,47.551017
L000268,Yakima,Yakima,WA,98908,-120.611068,46.596645
L000269,Chelan,Leavenworth,WA,98826,-120.686021,47.709556
L000270,Kittitas,Thorp,WA,98946,-120.696981,47.079926
L000271,Yakima,White Swan,WA,98952,-120.706467,46.374690
L000272,Yakima,Cowiche,WA,98923,-120.716196,46.665589
L000273,Yakima,Naches,WA,98937,-120.745186,46.741639
L000274,Yakima,Tieton,WA,98947,-120.748292,46.702098
L000275,Klickitat,Goldendale,WA,98620,-120.812691,45.828116
L000276,Kittitas,Cle Elum,WA,98922,-120.934781,47.194476
L000277,Kittitas,South Cle Elum,WA,98943,-120.951080,47.186186
L000278,Klickitat,Centerville,WA,98613,-120.957709,45.752426
L000279,Kittitas,Roslyn,WA,98941,-120.993702,47.222869
L000280,Kittitas,Ronald,WA,98940,-121.057097,47.257419
L000281,Klickitat,Wahkiacus,WA,98670,-121.127583,45.866837
L000282,Sacramento,Folsom,CA,95630,-121.170350,38.673560
L000283,Kittitas,Easton,WA,98925,-121.176112,47.236709
L000284,Klickitat,Murdock,WA,98617,-121.178318,45.617492
L000285,Klickitat,Lyle,WA,98635,-121.247036,45.751065
L000286,Placer,Roseville,CA,95661,-121.249098,38.741072
L000287,Klickitat,Glenwood,WA,98619,-121.292523,46.018411
L000288,King,Skykomish,WA,98288,-121.355284,47.707890
L000289,Yuba,Beale Afb,CA,95903,-121.384797,39.120319
L000290,Skagit,Marblemount,WA,98267,-121.408017,48.526463
L000291,Kittitas,Snoqualmie Pass,WA,98068,-121.413360,47.423073
L000292,Klickitat,Bingen,WA,98605,-121.474097,45.718776
L000293,King,Baring,WA,98224,-121.481175,47.768185
L000294,Klickitat,White Salmon,WA,98672,-121.486205,45.741690
L000295,Klickitat,Trout Lake,WA,98650,-121.500289,45.970456
L000296,Sacramento,Sacramento,CA,95833,-121.500780,38.613604
L000297,Sacramento,Sacramento,CA,95834,-121.539705,38.648765
L000298,Skagit,Rockport,WA,98283,-121.545932,48.495291
L000299,Skamania,Underwood,WA,98651,-121.548538,45.741078
L000300,Snohomish,Index,WA,98256,-121.553631,47.820309
L000301,Snohomish,Darrington,WA,98241,-121.604165,48.252975
L000302,Snohomish,Gold Bar,WA,98251,-121.633949,47.838029
L000303,Lewis,Packwood,WA,98361,-121.669150,46.609680
L000304,Yolo,Davis,CA,95618,-121.708220,38.554309
L000305,Skagit,Concrete,WA,98237,-121.760060,48.518445
L000306,King,North Bend,WA,98045,-121.770521,47.481692
L000307,Monterey,Marina,CA,93933,-121.789370,36.679847
L000308,Snohomish,Sultan,WA,98294,-121.793767,47.869144
