Location_ID,County,City,State,Postal Code,Vehicle Location,Longitude,Latitude
L000538,Pierce,Gig Harbor,WA,98335,POINT (-122.5835454 47.3234488),-122.5835454,47.3234488
L000539,Pierce,Gig Harbor,WA,98332,POINT (-122.589645 47.342345),-122.589645,47.342345
L000540,Pierce,Joint Base Lewis Mcchord,WA,98433,POINT (-122.596275 47.097005),-122.596275,47.097005
L000541,Pierce,Steilacoom,WA,98388,POINT (-122.5970685 47.1686632),-122.5970685,47.1686632
L000542,Whatcom,Ferndale,WA,98248,POINT (-122.6011039 48.85324),-122.6011039,48.85324
L000543,Kitsap,Port Orchard,WA,98366,POINT (-122.6064912 47.5236145),-122.6064912,47.5236145
L000544,Pierce,Fox Island,WA,98333,POINT (-122.6066806 47.2254086),-122.6066806,47.2254086
L000545,Thurston,Yelm,WA,98597,POINT (-122.61023 46.94126),-122.61023,46.94126
L000546,Kitsap,Bremerton,WA,98310,POINT (-122.611365 47.575195),-122.611365,47.575195
L000547,Multnomah,Portland,OR,97213,POINT (-122.61347 45.53652),-122.61347,45.53652
L000548,Kitsap,Keyport,WA,98345,POINT (-122.6250117 47.7021263),-122.6250117,47.7021263
L000549,Clark,Vancouver,WA,98686,POINT (-122.626623 45.711724),-122.626623,45.711724
L000550,Lewis,Salkum,WA,98582,POINT (-122.62985 46.53179),-122.62985,46.53179
L000551,Clark,La Center,WA,98629,POINT (-122.631475 45.887713),-122.631475,45.887713
L000552,Skagit,Anacortes,WA,98221,POINT (-122.6330168 48.4948674),-122.6330168,48.4948674
